table_name,table_description,column_name,column_description
bill,인청구서,hosp_bzac_id,병원 거래처를 식별하는 고유 ID 예시: 4mi6lcWHvb
bill,인청구서,psbll_id,인(人) 청구서를 식별하는 고유 ID 예시: 3K6CCpnoc2
bill,인청구서,dmpe_id,피해자의 고유 식별자 예시: 3K6CCq4zKc
bill,인청구서,clm_id,보험 청구를 식별하는 ID 예시: 3K6CCq5iWn
bill,인청구서,cus_id,고객 고유 ID 예시: 28dxevPQfu
bill,인청구서,ctr_id,계약 고유 ID 예시: 63R45212
bill,인청구서,cov_ins_amt_id,담보 보험금 식별자 예시: 4mu0Gwp803
bill,인청구서,hins_amt_id,인 보험금 식별자 예시: 4mu0GsaDXS
bill,인청구서,hins_amt_data_div_cd,"인보험금 데이터 구분 코드 (01: 인청구서, 02: 입원통원병원, 03: 진단, 04: 수술, 05: 피해기간, 06: 타사사고, 07: 한방치아, 08: 치료검사) 예시: 01"
bill,인청구서,cov_cd,담보 코드 예시: 620039
bill,인청구서,rsk_unt_cd,위험 단위 코드 예시: 1C00091
bill,인청구서,gurt_unt_cd,보장 단위 코드 예시: 1C00091002
bill,인청구서,ins_amt_apvl_dt,보험금 결재 일자 예시: 2016-11-07
bill,인청구서,slry_dcn_ins_amt,급여 결정 보험금 예시: 0.0
bill,인청구서,nsry_dcn_ins_amt,비급여 결정 보험금 예시: 0.0
bill,인청구서,dcn_ins_amt,총 결정 보험금 예시: 0.0
bill,인청구서,acd_rct_id,사고 접수 ID 예시: 3K6CCq5BQR
bill,인청구서,acd_rct_dt,사고 접수 일자 예시: 2011-06-16
bill,인청구서,last_rct_dt,최종 접수 일자 예시: 2016-11-02
bill,인청구서,ctr_obj_id,계약 목적물 ID 예시: 0y4Vm1pmR1
bill,인청구서,acd_no_yy,사고 번호 (년도) 예시: 2011
bill,인청구서,acd_no_seq,사고 번호 순번 예시: 284991
bill,인청구서,acd_dt,사고 발생 일자 예시: 2011-05-19
bill,인청구서,pol_no,보험 증권 번호 예시: 63R45212
bill,인청구서,sbcp_dt,청약 일자 예시: 2006-07-18
bill,인청구서,unt_pd_cd,단위 상품 코드 예시: 60267
bill,인청구서,inspe_cus_no,피보험자 고객 번호 예시: 10014373023
bill,인청구서,inspe_gndr_cd,피보험자 성별 코드 예시: 1
